company_norm,total_outlets,regions_count,mmdas_count,wholesale_outlets,retail_outlets,regions_list
Julitet Pharmacy,2,1,1,0,2,Greater Accra
Juliag Chemist,2,1,1,0,2,Ashanti
Xerion Chemist Limited,2,1,2,0,2,Northern
Amprapharma Company Limit,2,1,2,0,2,Ashanti
Kingstreet Pharmacy Limited,2,1,1,1,1,Greater Accra
X-Perts Pharmacy,2,1,2,0,2,Greater Accra
Enoapa Pharmacy Limited,2,1,1,0,2,Greater Accra
Fidel Pharmacy,2,1,1,1,1,Greater Accra
Edd Eddy Pharmacy,2,1,2,0,2,Greater Accra
Kings & Royals Pharmacy. Limited,2,1,2,0,2,Ashanti
Lynsam Chemist Limited,2,1,2,1,1,Greater Accra
Ph Anford Chemist Limited,2,1,2,0,2,Greater Accra
Alton Pharmacy Limited,2,1,2,1,1,Greater Accra
Endswell Pharmacy,2,1,1,1,1,Upper East
Amarpharma Limited,2,1,1,2,0,Central
Pillmart Pharmacy,2,1,1,0,2,Ashanti
Abyak Pharma Limited,2,1,1,1,1,Ashanti
Eden Royal Pharmacy,2,1,1,0,2,Greater Accra
Woluwie Pharmacy Limited,2,2,2,0,2,"Eastern, Greater Accra"
Amanfro Pharmacy,2,1,1,1,1,Greater Accra
Excora Pharmacy,2,1,2,2,0,Western
Leetonia Pharmacy,2,1,2,1,1,Greater Accra
Ju-Beth Pharmacy,2,1,2,1,1,Greater Accra
Pharma George Chemist,2,1,1,0,2,Greater Accra
Unique Aid Pharmacy,2,1,2,2,0,Greater Accra
Exxell Pharma Limited,2,1,1,0,2,Greater Accra
Adiyiah Pharmacy,2,1,1,1,1,Ashanti
Westlink Chemist Limited,2,1,2,0,2,Western
Aide Chemist Limited,2,2,2,0,2,"Eastern, Greater Accra"
Eye Of God Pharmacy,2,2,2,1,1,"Ashanti, Upper East"
Levon Pharmacy,2,1,1,2,0,Greater Accra
Pharmageorge Chemist Limited,2,1,2,0,2,Greater Accra
Lifepoint Pharmacy,2,1,1,0,2,Greater Accra
West Point Chemist,2,1,1,0,2,Greater Accra
Aduanaba Pharmacy Limited,2,1,2,2,0,Brong Ahafo
Verjo Chemist Limited,2,1,1,1,1,Ashanti
Wagga Care Pharmacy,2,1,1,0,2,Greater Accra
Walgreens Pharmacy Limited,2,1,2,2,0,Eastern
Lib Pharmacy,2,1,1,0,2,Greater Accra
Elim Pharmacy,2,1,2,0,2,Ashanti
Elinda Pharmacy Company. Limited,2,1,1,0,2,Greater Accra
Pharmatrust Limited,2,2,2,2,0,"Central, Greater Accra"
Wellmark Pharmacy Limited,2,1,1,2,0,Greater Accra
Palm-Aid Pharmacy,2,1,2,0,2,Greater Accra
Pamjoson Pharmacy,2,1,1,0,2,Ashanti
Kekule Pharmacy,2,1,1,2,0,Western
Kendicks Pharmacy,2,1,2,1,1,Western
Lloyds Pharmacy,2,2,2,1,1,"Brong Ahafo, Greater Accra"
Express Care Pharmacy Limited,2,1,2,0,2,Greater Accra
Kezwell Pharmacy Limited,2,1,2,1,1,Greater Accra
Alfies Pharmacy Limited,2,1,1,2,0,Greater Accra
Edzieba Pharmacy,2,1,2,1,1,Central
Adastraf Pharmacy Limited,2,1,2,0,2,Upper East
Paramedica Services Limited,2,1,2,1,1,Greater Accra
Mary De Rose Pharmacy Limited,2,1,1,2,0,Greater Accra
Listings Pharmacy,2,1,1,0,2,Greater Accra
Lenus Pharma Limited,2,1,1,0,2,Greater Accra
Fakstins Pharmacy,2,1,1,1,1,Greater Accra
Family Wise Pharmacy,2,1,2,0,2,Eastern
Phersons Pharmacy,2,1,2,0,2,Greater Accra
Eklesia Pharmacy,2,1,2,2,0,Central
Lim Pharma Limited,2,2,2,1,1,"Eastern, Greater Accra"
Likem Pharmacy,2,1,2,0,2,Volta
Kak Pharmacy,2,1,2,0,2,Ashanti
Leons Chemist Limited,2,1,2,0,2,Greater Accra
Kam-Aid Pharmacy Limited,2,1,2,0,2,Greater Accra
Light Pharma Limited,2,1,1,0,2,Greater Accra
Addpharma Gh. Limited,2,1,2,0,2,Greater Accra
Pharmacy De Pabloe Limited,2,1,1,1,1,Central
Familymeds Pharmacy Limited,2,1,2,0,2,Greater Accra
Ascot Pharmacy,2,2,2,2,0,"Greater Accra, Western"
Tobinco Pharmaceuticals Lim,2,1,2,2,0,Eastern
Asapharma Limited,2,1,2,1,1,Ashanti
Asanco Pharmacy,2,1,1,0,2,Greater Accra
Asanbeck Pharmacy,2,1,2,0,2,Greater Accra
Toffey Pharmacy,2,2,2,1,1,"Greater Accra, Western"
Tohaba Pharmaceuticals Limited,2,2,2,0,2,"Brong Ahafo, Greater Accra"
Euretom Pharmacy,2,1,1,0,2,Greater Accra
Maliko Pharma Limited,2,1,1,0,2,Greater Accra
Opac Pharmacy Limited,2,1,1,0,2,Northern
Perfbaab Pharmacy Limited,2,1,1,2,0,Greater Accra
Jilis Pharmacy,2,1,2,0,2,Greater Accra
Zip Pharmacy,2,1,1,0,2,Eastern
Mal-Titi Chemists,2,1,1,1,1,Greater Accra
Evanex Pharmacy,2,1,2,2,0,Western
Jim-Beck Pharmacy,2,1,1,0,2,Greater Accra
One Phamily Pharmacy,2,2,2,2,0,"Greater Accra, Volta"
Trafalgar Gate Pharmacy,2,1,1,2,0,Volta
Eric Vee Pharmacy,2,1,2,2,0,Ashanti
Malb-Pharma Limited,2,1,2,1,1,Greater Accra
Espat Pharmacy,2,1,1,1,1,Greater Accra
Fmms Pharmacy,2,1,1,0,2,Greater Accra
Kumo Pharmacy,2,2,2,2,0,"Upper East, Upper West"
Asomafo Pharmacy,2,1,1,1,1,Ashanti
Third Gate Pharmacy,2,1,1,0,2,Greater Accra
Ethical Pharmaceuticals Limited,2,1,2,1,1,Northern
Kraspect Pharmacy,2,1,1,1,1,Western
Kosak Pharmacy Limited,2,1,1,1,1,Greater Accra
Jeksa Pharmacy Limited,2,1,1,0,2,Greater Accra
Tobinco Pharmaceuticals,2,2,2,2,0,"Greater Accra, Northern"
Maple Leaf Chemist,2,2,2,1,1,"Central, Greater Accra"
Ashbys Limited,2,1,1,0,2,Ashanti
Flexsta Pharmacy Limited,2,1,2,0,2,Greater Accra
Jenark Pharmacy,2,2,2,2,0,"Brong Ahafo, Greater Accra"
Ernest Chemists Limited.(Dzorwul,2,1,1,1,1,Greater Accra
Flash Point Pharmacy,2,1,1,0,2,Ashanti
Kojach Limited,2,2,2,2,0,"Ashanti, Greater Accra"
Eugenex Pharmacy,2,1,2,0,2,Eastern
Erndom Chemist,2,1,1,1,1,Ashanti
72Nd Pharmacy Limited,2,2,2,1,1,"Ashanti, Volta"
Ashgin Pharmacy,2,1,1,0,2,Central
Andyfaith Pharmacy,2,1,2,1,1,Western
Jofas Pharmacy,2,2,2,1,1,"Ashanti, Western"
Poklina Pharmacy Limited,2,1,2,0,2,Ashanti
Ma Havilah Chemist Limited,2,1,1,0,2,Greater Accra
East Cantonment Pharmacy,2,1,1,1,1,Western
Y & J Pharmaceuticals,2,1,1,2,0,Greater Accra
Pokuase Pharmacy,2,1,1,0,2,Greater Accra
Firdaws Pharmacy,2,1,2,2,0,Greater Accra
Jojo Pharmacy,2,1,1,1,1,Brong Ahafo
Mack-Hubert Pharmacy Limited,2,1,1,2,0,Brong Ahafo
Partners Health Services,2,1,1,2,0,Ashanti
