district,region,population,outlets,wholesale,pharmacies_per_100k,pop_per_pharmacy,hhi
Ada West,Greater Accra,75978.0,5,1,6.58085235199663,15195.6,2000.0
Upper Denkyira East Municipal,Central,110123.0,8,7,7.264604124478991,13765.375,1250.0
Yilo Krobo Municipal,Eastern,122439.0,9,4,7.350599073824517,13604.333333333334,1111.0
Asuogyaman,Eastern,101379.0,8,4,7.891180619260399,12672.375,1250.0
Dormaa Central Municipal,Bono,112614.0,9,4,7.991901539773029,12512.666666666666,1852.0
Wenchi Municipal,Bono,124729.0,10,2,8.017381683489806,12472.9,1800.0
Asante Akim North Municipal,Ashanti,85679.0,7,5,8.170029995681555,12239.857142857143,1429.0
Kwahu West Municipal,Eastern,146064.0,12,6,8.21557673348669,12172.0,833.0
Kpone Katamanso Municipal,Greater Accra,412816.0,34,7,8.236114879268246,12141.64705882353,294.0
Birim South,Eastern,35522.0,3,3,8.445470412701988,11840.666666666666,3333.0
Wa Municipal,Upper West,200887.0,17,11,8.462468950205837,11816.882352941177,588.0
Akwapim North Municipal,Eastern,105285.0,9,3,8.548226243054566,11698.333333333334,1111.0
Kpando Municipal,Volta,58470.0,5,3,8.551393877201985,11694.0,2000.0
Hohoe Municipal,Volta,114473.0,10,2,8.735684397194097,11447.3,1400.0
Agona West Municipal,Central,136309.0,12,5,8.803527279930158,11359.083333333334,833.0
Afigya Kwabre South,Ashanti,234587.0,21,5,8.951902705606022,11170.809523809523,476.0
Effutu Municipal,Central,108698.0,10,5,9.19980128429226,10869.8,1200.0
Atiwa East,Eastern,64615.0,6,2,9.285769558152133,10769.166666666666,1667.0
Nsawam Adoagyiri Municipal,Eastern,155890.0,15,8,9.622169478478416,10392.666666666666,667.0
Techiman Municipal,Bono East,243340.0,24,17,9.862743486479822,10139.166666666666,417.0
Atwima Kwanwoma,Ashanti,235055.0,24,10,10.210376294909702,9793.958333333334,451.0
Kwabre East,Ashanti,296300.0,31,8,10.462369220384746,9558.064516129032,364.0
Fanteakwa North,Eastern,56953.0,6,4,10.535002545958948,9492.166666666666,1667.0
Bosomtwi,Ashanti,165019.0,21,4,12.725807331277005,7858.047619047619,476.0
Tarkwa-Nsuaem Municipal,Western,219383.0,31,19,14.130538829353233,7076.870967741936,427.0
Bolgatanga Municipal,Upper East,142559.0,21,10,14.730743060767823,6788.523809523809,476.0
Adansi North,Ashanti,54253.0,8,4,14.74572834681953,6781.625,1250.0
La Dade-Kotopon Municipal,Greater Accra,140365.0,21,9,14.960994549923415,6684.047619047619,522.0
Tamale Metropolitan Area (TMA),Northern,374907.0,63,32,16.804167433523514,5950.9047619047615,174.0
Awutu Senya East Municipal,Central,236507.0,40,19,16.91281864807384,5912.675,325.0
Shai-Osudoku,Greater Accra,105522.0,20,8,18.953393605124997,5276.1,500.0
Cape Coast Metropolitan Area (CCMA),Central,189845.0,36,15,18.96283810476968,5273.472222222223,309.0
Ho Municipal,Volta,180193.0,37,19,20.5335390386974,4870.081081081081,314.0
Ningo-Prampram,Greater Accra,204534.0,42,8,20.53448326439614,4869.857142857143,283.0
Ejisu Municipal,Ashanti,180801.0,39,19,21.57067715333433,4635.923076923077,256.0
Awutu Senya,Central,161053.0,36,22,22.3528900424084,4473.694444444444,293.0
Ashaiman Municipal,Greater Accra,207871.0,50,22,24.053379259252132,4157.42,240.0
Sunyani Municipal,Bono,193463.0,48,28,24.810945762238774,4030.4791666666665,286.0
Ga Central Municipal,Greater Accra,332479.0,89,23,26.768607942155743,3735.7191011235955,115.0
Obuasi Municipal,Ashanti,104425.0,29,12,27.771127603543214,3600.862068965517,369.0
New Juaben South Municipal,Eastern,129978.0,45,24,34.621243595069934,2888.4,262.0
Ledzokuku Municipal,Greater Accra,217398.0,85,14,39.098795757090684,2557.6235294117646,134.0
Sekondi Takoradi Metropolitan Area (STMA),Western,244789.0,98,50,40.0344786734698,2497.8469387755104,129.0
La Nkwantanang Madina Municipal,Greater Accra,220852.0,90,20,40.751272345281,2453.911111111111,136.0
Ga South Municipal,Greater Accra,350290.0,156,32,44.53452853350082,2245.448717948718,80.0
Ga West Municipal,Greater Accra,314495.0,155,47,49.28536224741252,2029.0,71.0
