active_ingredient,count
vitamin a bp / vitamin b1 bp / vitamin b2 bp/ vitamin c bp / vitamin d3 / nicotinamide bp,3
ciprofloxacin lactate,3
dexamethasone base/neomycin sulphate /polymyxin b-sulphate,3
lossartan potassium,3
ceftriaxone,3
flumenthrin,3
colistin/ erythromycin thiocyanate,3
vitamin b9 (folic acid)/vitamin d3/vitamin e/iodine/omega 3 /vitamin b12,3
diphenhydramine hcl /menthol,3
paracetamol/ ascorbic acid/ phenylephrine hydrochloride/ pheniramine maleate,3
benzoic acid /salicylic acid,3
"diclofenac diethylamine, linseed oil, methyl salicylate & menthol gel.",3
rifapentine,3
"diclofenac diethylamine, methyl salicylate, levo menthol, linseed oil ,capsaicin",3
sulfadoxine/pyrimethamine/amodiaquine,3
gentian violet,3
haemoglobin/ferric ammonium citrate/vitamin b12,3
metformin hydrocholoride,3
fluoxetine hydrochloride,3
paracetamol /ibuprofen/caffeine,3
magnesium oxide/ l-ascorbic acid/ ferrous citrate/ nicotinamide/ d-alpha-tocopheryl acetate/ calcium-d-pantothenate/ zinc oxide/ pyridoxine hcl/ thiamine hcl/ riboflavin/pteroylmonoglutamic acid,3
formoterol fumarate dihydrate/budesonide,3
chlorzoxane/diclofenac/paracetamol,3
magnesium hydroxide bp/ dried aluminium hydroxide bp magnesium trisilicate bp activated dimethicone (simethicone) b,3
gliclazide,3
dihydroartemisinin / piperaquine phosphat,3
fluralaner and moxidectin,3
capecitabine,3
lamivudine/zidovudine,3
ceftriaxone usp,3
praziquantel/pyrantel/febantel,3
norfloxacilin/ doxycycline hyclate,3
midazolam,3
dextromethorphan hydrobromide bp/ phenylephrine hydrochloride b.p/ cetirizine hydrochloride b.p/ racementhol b.p,3
fentanyl citrate,3
anastrozole,3
desloratadine,3
fexofanadine hydrochloride,3
praziquantel/pyrantel pamoate/oantel pamoate,3
doxycycline hydrochloride usp equivalent to doxycycline/ lactic acid bacillus,3
itraconazole,3
atorvastatin/perindopril arginine / amlodipine,3
metformin,3
sodium lactate /sodium chloride / potassium chloride /calcium chloride dihydrate,3
ustekinumab,3
cephalaxin,3
carprofen,3
tramadol hcl,3
iron sucrose,3
zoledronic acid,3
candesartan cilexetil/hydrochlorothiazide,3
trisodium citrate/potassium chloride/dextrose anhydrous usp/sodium chloride,3
dextrose/sodium chloride,3
ibesartan,3
amoxicillin trihydrate/ colistin sulphate,3
moxifloxacin,3
morphine sulphate,3
cefaclor,3
metformin hcl,3
cyproheptadine/ vit a / vit d3 / vit b1 / vit b2 / vit b6 / vit b12 / niacinamide / d-panthenol,3
vitamin c/niacin/vitamin b6/vitamin b12/citrulline malate,3
vitamin a/ vitamin b complex/ vitamin b1/ vitamin b2/ vitamin b3/ vitamin b5/ vitamin b6/ vitamin b9/ vitamin b12/ vitamin c/ vitamin d/ vitamin e/ vitamin h/ vitamin k/ calcium/ chromium/ copper/ iodine/ iron,3
(l-isoleucine /l-leucine / l-lysine hydrochloride/ l-methionine / l-phenylalanine / l-threonine / l-tryptophan /l-valine /l-arginine / l-histidine / glycine / l-alanine / l-proline / l-aspartic acid / l-asparagine h2o/l-cysteine hydrochloride,3
benzylpencillin sodium,3
risperidone,3
methylprednisolone,3
"vitamin a, vitamin d3, vitamin e, vitamin b1, vitamin b2, vitamin b6, vitamin b12, d-panthenol, nicotinamide, folic acid, biotin, choline chloride, amino acid",3
carvedilol usp,3
medroxyprogesterone acetate,3
colecalciferol,2
palbociclib,2
ciprofloxacin/ sodium chloride,2
glucosamine/chondroitin/methyl sulfonyl methane/collagen type 2/hyaluronic acid,2
vit c/niacin/pantothenic acid/vit a/vit b2/vit b6/vit b1/vit d/vit b12/d-biotin,2
pneumococcal polysaccharide conjugate vaccine (13-valent adsorbed),2
bortezomib,2
lisinopril /hydrochlorothiazide,2
frusemide,2
betamethasone dipropionate /clotrimazole /neomycin sulfate,2
metformin hydrochloride/vildagliptin,2
dapagliflozin propanediol monohydrate,2
vit a /cholecalciferol /vit e /vit c /biotin /thiamine /riboflavin /niacinamide /d-panthenol/pyridoxine/folic acid/vit b12/zinc/magnesium/manganese/choline/copper/iodine/molybdenum- 900mcg/20mcg/5mcg/10mg/5mcg/1mg/1mg/5mg/3mg/0.5mg/100mcg/2mcg/2mg/700mcg/10mcg/2.5mg/60mcg/45mcg/40mcg,2
atenolol/chlortalidone,2
ursodeoxycholic acid,2
magnesium trisilicate/ light magnesium carbonate / sodium bicarbonate,2
calcium,2
oxytetracycline hcl and multivitamin,2
permethrin/ piperonyl butoxide,2
anhydrous citric acid/ sodium bicarbonate/magnesium sulphate,2
cetirizine dihydrochloride,2
bimatoprost,2
dydrogesterone,2
dextran/hypromellose,2
tiamulin fumerate/doxycycline hydrochloride,2
lynestrenol,2
albendazole and ivermectin,2
diclofenac sodium+paracetamol,2
amoxicillin/ flucloxacillin,2
magnesium hydroxide,2
dithranol,2
paraffinum molle flavum bp – (white petroleum jelly),2
thiamine hcl/ riboflavin/ niacinamide,2
hydrolyzed marine collagen/inulin/vitamin c/vitamin e/ biotin/ black currant seed oil/ alpha lipoic acid/ co-enzyme q10/ l-glutathione/ hyaluronic acid/ sesbania extract,2
sulfadoxine_pyrimethamine,2
glycine,2
recombinant human erythropoietin,2
"meningococcal a,c,y,w,x) polysaccharide conjugate",2
betamethasone dipropionate/ miconazole,2
"sodium citrate, sodium lauryl sulfoacetate, sorbitol",2
golimumab,2
rabeprazole sodium,2
diphenhydramine hcl/ammonium chloride,2
l-arginine/co-enzyme q-10/vitamin e-acetate/policosanol/zinc sulfate monohydrate/lycopene /black pepper extract/elemental selenium,2
oxytetracycline hydrochloride/lidocaine hcl,2
clopidogrel,2
"live newcastle disease virus, la sota strain",2
"frankatson limited 28 orgle road p.o.box kn835, kaneshie, accra",2
"dolutegravir, lamivudine and tenofovir disoproxil fumarate",2
vitamin a /vitamin d3/vitamin e / vitamin k / vitamin c,2
glibenclamide,2
pregablin,2
erythromycin estolate,2
ivermectin/albendazole,2
tizanidine hydrochloride,2
pantoprazole sodium,2
procaine penicillin/ dihydrostreptomycin sulphate,2
"diminazine, diaceturate/ vitamin b12",2
niacinamide/ vitamin d/ vitamin e/ omega 3/ epa/ dha,2
apixaban,2
sodium chloride/glucose,2
epirubicin hydrochloride,2
amlodipine besylate/valsartan,2
"inactivated newcastle disease virus, strain ulster",2
live attenuated newcastle disease virus strain bi hitchner,2
live attenuated fowlpox virus strain brescia,2
live attenuated newcastle disease virus strain lasota,2
betamethasone valerate/ gentamicin sulphate/ tolnaftate /clioquinol,2
dried aluminium hydroxide/magnesium hydroxide/simethicone,2
tenofovir disoproxil fumarate​ ​tablets,2
docosahexanoic acid/ elemental zinc/ pyridoxal-5-phosphate/ l-methyl folate/ methylcobalamin/ iodine,2
ferric ammonium citrate/ nicotinamide/ pyridoxine hydrochloride/ cyanocobalamin/ zinc sulphate heptahydrate,2
vildagliptin,2
vitamin c/zinc/thyme extract,2
sitagliptin / metformin hydrochloride,2
protein hydrolysate/elemental iron/zinc sulphate/l-lysine hydrochloride/niacinamide/d-panthenol/pyridoxine hydrochloride/cyanocobalamine/folic acid,2
vitamin c/zinc/vitamin d3- 1000mg/10mg/1000iu,2
citicoline,2
bedaquiline fumarate,2
indapamide/amlodipine,2
perindopril arginine/indapamide,2
amlodipine mesilate,2
thiamine/pyridoxine/cyanocobalamin,2
benzylpenicillin sodium,2
benzathine benzylpenicillin tetrahydrate,2
indapamide / amlodipine,2
fish oil/eicosapentaenoic acid/docosahexaenoic acid,2
iopamidol,2
gadodiamide,2
hypromellose,2
calcium carbonate/vitamin d/vitamin c,2
vit a/vit e/vit d3/vit c/vit b5/folic acid/vit b1/vit b6/vit b2/vit b3/vit b12/biotin/zinc gluconate/magnesium oxide/iron bisglycinate/dicalcium iodide/potassium iodide/copper gluconate/selenium/boron,2
ginkgo biloba ext/vitamin b1/vitamin b3/vitamin b5/vitamin b6/vitamin b12/folic acid,2
cyproheptadine hydrochloride (anhydrous) /vitamin a (as acetate) / vitamin d3/vitamin b1/riboflavin /cyanocobalamin/nicotinamide/calcium pantothenate/ calcium lactate bp,2
diclofenac diethylamine/linseed oil/methyl salicylate/menthol gel,2
pioglitazone,2
filgrastim,2
clindamycin phosphate/nicotinamide,2
torasemide,2
vitamin a (as palmitate)/ all-rac-alpha-tocopheryl acetate/ cholecalciferol/ thiamine hydrochloride/ riboflavin sodium phosphate/ pyridoxine hydrochloride/ ascorbic acid/ dexpanthenol/ nicotinamide/ lysine hydrochloride/ zinc sulphate heptahydrate,2
vecuronium bromide,2
hepatitis b vaccine (rdna),2
sulphadoxine / pyrimethamine,2
diclofenac diethyl ammonium salt equivalent to diclofenac sodium bp / methyl salicylate bp/ menthol bp,2
thiamin/vitamin b12,2
vitamin a /vitamin d /vitamin e /vitamin k /vitamin c /thiamine /riboflavin,2
vitamin b1/vitamin b2/ vitamin b6/ vitaminb12/ folic acid/ panthothenic acid/ calcium as gluconate/ vitaminb3/ ironas polymaltose complex/ zinc as sulphate/ biotin/ copper as sulphate/ manganese as sulphate/ lysine as hcl,2
fexofenadine hydrochloride,2
protein ​23g,2
vitamin a/ vitamin d3/ vitamin e/ vitamin c/ vitamin k/ vitamin b2/ vitamin b1/ vitamin b12/ vitamin b6/ biotin/ dl-methionine/ l-lysine/ nicotinamide/ trace minerals,2
zinc oxide,2
doxycycline,2
elderberry/vitamin c/ginger/vitamin d/zinc,2
cyproheptadine hydrochloride/ thiamine hydrochloride/ riboflavin/ pyridoxine hydrochloride/ calcium pantothenate,2
diclofenac potassium/paracetamol/chlorzoxazone,2
venlafaxine hydrochloride,2
darunavir/ rotanavir,2
penicillin g procaine/ streptomycin sulphate/ retinol acetate/ cholecalciferol/ alpha-tocopherol acetate/ menadione sodium bisulphite/ riboflavin/ pyridoxine hydrochloride/ cyanocobalamin/ folic acid/ calcium pantothenate/ nicotinic acid,2
ferrous ascorbate,2
metronidazole/sodium chloride,2
tetracycline hydrochloride,2
hydrochlorothiazide/losartan potassium,2
empagliflozin/ linagliptin,2
telmisartan/hydrochlorothiazide,2
telmisartan/amlodipine,2
vitamin a (as palmitate)/vitamin b1/vitamin b2/vitamin c/vitamin d3/vitamin b6/nicotinamide/d-panthenol,2
diclofenac diethylamine / methyl salicyclate,2
ampicillin trihydrate/cloxacillin sodium,2
permethrin,2
tylosin tartrate/ doxycycline hcl,2
royal jelly/chromium/cholin/inositol/folic acid/vit c/vit e/vit b6/zinc/vit d3/n-acetyl cysteine/vit b12/selenium/calcium/co- enzyme q10/iron/saw palmetto/vitex/curcuminoid/saussurea costus extract/chamomille/potassium/copper,2
vitamin a /vitamin d /vitamin e /vitamin k /vitamin c /thiamin /riboflavin,2
vitamin b1/vitamin b6/vitamin pp/artichoke/hops flower/valerian/springer/lysine hydrochloride/l-arginine l aspartate,2
vitamin a 750mcg/ vitamin e 20mg/ cholecalciferol 5mcg/ ascorbic acid 60mg/ thiamine mononitrate 12mg/ riboflavin 5mg/ nicotinamide 20mg/ folic acid 500mcg/ cyanocobalamin 9mcg/ biotin 50mcg/ calcium pantothenate 10mg/ l-carnitine 30mg/ pyridoxine hcl 9mg,2
irinotecan hydrochloride trihydrate,2
lenalidomide ( form h1),2
vildagliptin/metformin,2
sulfadimidine sodium /pyrimethamine hcl/ oxytetracycline hcl/ vitamin a/ vitamin k3/ vitamin b2,2
