chain,outlets,total_pop_served,mmda_count,regions,pop_per_outlet,avg_mmda_pop
MDK PHARMACY LTD,1,23353.75,1,1,23353.75,23353.75
ECO CARE PHARMACY LTD,1,23189.75,1,1,23189.75,23189.75
K.A. PARTSARP,1,23189.75,1,1,23189.75,23189.75
AGYA NTI PHARMACY LTD,1,23189.75,1,1,23189.75,23189.75
KWACHARCO PHARMACY LTD,1,23189.75,1,1,23189.75,23189.75
SEBATOS PHARMACY (HOHOE BR,2,22894.6,1,1,11447.3,22894.6
PILLPOINT PHARMACY,5,22739.823983341503,3,2,4547.964796668301,7579.941327780501
J-MALL PHARMACY LIMITED,1,22703.333333333332,1,1,22703.333333333332,22703.333333333332
WITTY PHARMACY LTD,1,22703.333333333332,1,1,22703.333333333332,22703.333333333332
JEB PHARMACY,1,22675.4,1,1,22675.4,22675.4
ANLOGA ST. FRANCIS PHARMACY,1,22675.4,1,1,22675.4,22675.4
DELMARK PHARMACY,1,22675.4,1,1,22675.4,22675.4
TOBINCO PHARMACEUTICALS LIM,2,22592.9,2,1,11296.45,11296.45
G-EME PHARMACY LTD.,1,22460.666666666668,1,1,22460.666666666668,22460.666666666668
STARLITE CHEMISTS LTD,1,22460.666666666668,1,1,22460.666666666668,22460.666666666668
EYE OF GOD PHARMACY,2,22157.52380952381,2,2,11078.761904761905,11078.761904761905
GEOVIKES PHARMACY LTD,1,22055.333333333332,1,1,22055.333333333332,22055.333333333332
TWIFU PRASO PHARMACY LTD.,1,22055.333333333332,1,1,22055.333333333332,22055.333333333332
PROVIDER PHARMACY,1,21929.285714285714,1,1,21929.285714285714,21929.285714285714
NEAL-K PHARMACY LTD,1,21929.285714285714,1,1,21929.285714285714,21929.285714285714
AGAPE PHARMACY LTD.,1,21929.285714285714,1,1,21929.285714285714,21929.285714285714
APREMDO PHARMACY LTD.,1,21929.285714285714,1,1,21929.285714285714,21929.285714285714
EVANEX PHARMACY,1,21929.285714285714,1,1,21929.285714285714,21929.285714285714
QUEENXTA PHARMACY LTD,1,21929.285714285714,1,1,21929.285714285714,21929.285714285714
A & B PHARMA LIMITED,1,21929.285714285714,1,1,21929.285714285714,21929.285714285714
PHARMACY DE PABLOE LTD.,2,21739.6,1,1,10869.8,21739.6
TONYA PHARMACY,3,21230.612903225807,1,1,7076.870967741936,21230.612903225807
ORIGIN CHEMIST LTD,6,20970.580903037357,4,1,3495.0968171728928,5242.645225759339
AMPRAPHARMA COMPANY LIMIT,2,20728.874039938557,2,1,10364.437019969278,10364.437019969278
ASAPHARMA LTD,2,20728.874039938557,2,1,10364.437019969278,10364.437019969278
WILLRITE PHARMACY,2,20728.874039938557,2,1,10364.437019969278,10364.437019969278
Kinapharma Limited,9,20633.025694354175,4,4,2292.558410483797,5158.256423588544
VIVAX PHARMACY,1,20576.333333333332,1,1,20576.333333333332,20576.333333333332
NYARKOSA PHARMACY,1,20576.333333333332,1,1,20576.333333333332,20576.333333333332
