region,district,urbrur,population
Ashanti,Akrofuom,Rural,38386
Western,Jomoro Municipal,Urban,38115
Ahafo,Asutifi North,Rural,37809
Ahafo,Tano South Municipal,Rural,37689
Western North,Bia West,Urban,37630
Northern,Nanton,Rural,37573
Bono,Sunyani Municipal,Rural,37361
Northern,Gushegu Municipal,Urban,36427
Eastern,Asene Manso Akroso,Rural,36249
Bono East,Pru East,Rural,36157
Ahafo,Asutifi North,Urban,35738
Volta,South Tongu,Urban,35499
Eastern,Kwahu South Municipal,Urban,35485
Eastern,Kwahu East,Urban,35460
Volta,Akatsi South Municipal,Urban,35386
Oti,Krachi East Municipal,Urban,34466
Ahafo,Asutifi South,Rural,34001
Western,Ellembelle,Urban,33984
Eastern,Fanteakwa North,Rural,33832
Upper West,Daffiama Bussie Issa,Rural,33640
Ashanti,Sekyere Kumawu,Urban,33630
Volta,Anloga,Rural,33596
Bono,Berekum West,Rural,33519
Ashanti,Asante Akim South Municipal,Urban,33437
Ahafo,Asutifi South,Urban,33381
Ashanti,Adansi North,Rural,33288
Greater Accra,Ada West,Urban,33258
Savannah,East Gonja Municipal,Urban,32910
Volta,Akatsi North,Rural,32725
Bono East,Techiman North,Rural,32476
Ashanti,Sekyere South,Rural,32362
Bono,Sunyani West Municipal,Rural,32323
Bono,Dormaa West,Rural,31688
Central,Agona West Municipal,Rural,31457
Ashanti,Asante Akim Central Municipal,Rural,31276
Eastern,Akyemansa,Urban,31262
Volta,Agortime-Ziope,Rural,31220
Bono East,Pru West,Urban,30836
Upper East,Builsa South,Rural,30796
Ashanti,Sekyere Kumawu,Rural,30681
Volta,Kpando Municipal,Rural,30555
Volta,Keta Municipal,Rural,30512
Eastern,Fanteakwa South,Rural,30420
Eastern,Akwapim South Municipal,Urban,30381
Volta,Hohoe Municipal,Rural,30013
Eastern,Lower Manya Krobo Municipal,Rural,29891
Northern,Karaga,Urban,29847
Ahafo,Asunafo South,Urban,29599
Ashanti,Afigya Kwabre North,Rural,29100
Upper East,Kasena Nankana Municipal,Urban,28842
Eastern,Achiase,Urban,28526
Ashanti,Asante Akim North Municipal,Rural,28506
Ashanti,Sekyere East,Rural,28329
Eastern,Upper West Akim,Urban,28324
Oti,Guan,Rural,28268
Bono,Banda,Rural,28103
Volta,Kpando Municipal,Urban,27915
Eastern,Achiase,Rural,27796
Northern,Kumbungu,Urban,27613
Ashanti,Sekyere Afram Plains,Rural,27603
Ashanti,Ahafo Ano North Municipal,Urban,27083
Upper East,Bolgatanga East,Rural,27043
Eastern,Ayensuano,Urban,27029
Western,Mpohor,Urban,26879
Central,Twifo Ati Morkwa,Urban,26779
Eastern,Kwahu Afram Plains South,Urban,26775
Greater Accra,Ada East,Urban,26729
Eastern,Birim North,Urban,26711
Eastern,Asuogyaman,Urban,26517
Oti,Biakoye,Urban,26476
Upper East,Pusiga,Urban,25965
Northern,Tolon,Urban,25841
Eastern,Atiwa East,Urban,25528
Central,Upper Denkyira West,Urban,25398
Ashanti,Atwima Mponua,Urban,25310
Western,Mpohor,Rural,24950
Western North,Juaboso,Urban,24730
Eastern,Fanteakwa South,Urban,24542
Eastern,Denkyembuor,Rural,24329
Savannah,West Gonja,Rural,24267
Oti,Kadjebi,Urban,23963
Oti,Krachi Nchumuru,Urban,23935
Western,Nzema East Municipal,Urban,23846
Ashanti,Sekyere Central,Urban,23272
Western North,Suaman,Rural,23203
Eastern,Fanteakwa North,Urban,23121
Ashanti,Obuasi East,Rural,22967
North East,Bunkpurugu Nakpanduri,Urban,22893
Greater Accra,Kpone Katamanso Municipal,Rural,22531
Ashanti,Juaben Municipal,Urban,22489
Northern,Nanumba South,Urban,22430
Savannah,Sawla Tuna Kalba,Urban,22425
Western North,Bodi,Urban,22425
Northern,Zabzugu,Urban,22298
Upper East,Bawku West,Urban,21625
Eastern,Upper Manya Krobo,Urban,21394
Ashanti,Amansie South,Urban,21259
Central,Gomoa Central,Urban,21147
Ashanti,Adansi North,Urban,20965
Eastern,Atiwa West,Urban,20324
Eastern,Birim South,Rural,20265
Central,Assin North,Urban,20235
Greater Accra,La Nkwantanang Madina Municipal,Rural,19729
Ashanti,Adansi South,Urban,19179
Bono,Dormaa East,Rural,19130
Northern,Kpandai,Urban,18899
Upper West,Sissala East Municipal,Urban,18688
Central,Twifo Heman Lower Denkyira,Urban,18676
Western,Wassa Amenfi Central,Urban,18660
Upper West,Jirapa Municipal,Urban,18531
Upper East,Kasena Nankana West,Urban,18312
Savannah,North Gonja,Urban,18116
Greater Accra,Adentan Municipal,Rural,18111
Bono East,Sene West,Urban,18071
Volta,South Dayi,Urban,17903
Greater Accra,Ga East Municipal,Rural,17630
Volta,Ho West,Urban,16821
Bono,Dormaa West,Urban,16249
Bono,Berekum West,Urban,16045
Western North,Aowin Municipal,Urban,15891
Ashanti,Ahafo Ano South East,Urban,15606
Eastern,Birim South,Urban,15256
Bono,Berekum East Municipal,Rural,15091
Western North,Suaman,Urban,15065
Oti,Krachi West Municipal,Urban,15028
Western,Wassa East,Urban,14750
Upper West,Nadowli Kaleo,Urban,14696
Oti,Jasikan Municipal,Urban,14579
Eastern,Kwahu Afram Plains North,Urban,14456
Ashanti,Ahafo Ano South West,Urban,14417
North East,Chereponi,Urban,14404
Bono East,Kintampo South,Urban,13659
Central,Ekumfi,Urban,13297
Northern,Nanton,Urban,13198
North East,Mamprugu Moagduri,Urban,12850
Ashanti,Obuasi Municipal,Rural,12838
