client_clean,total_products,drug_products,food_products,countries_sourced,local_products,valid_products,import_pct,drug_pct
Mmc Pharmaceuticals Limited No 113 Visalakshi Street Devi Karumaryamman Nagar Valasaravakam Chennai-600087 India,12,12,0,1,0,12,100.0,100.0
Premium Serums And Vaccines Pvt,12,12,0,1,0,12,100.0,100.0
"Santa Glory Ent., Accra",12,0,12,6,0,12,100.0,0.0
Amponsah Effah Pharmaceuticals Limited P. O. Box,12,12,0,1,6,12,50.0,100.0
Beda Pharmaceuticals Limited,12,12,0,1,9,12,25.0,100.0
Nature'S Way Brands,12,12,0,1,12,12,0.0,100.0
"G.H. Afri Frozen Foods Limited, East Legon, G/R",12,0,12,5,0,12,100.0,0.0
"Gr Industries Limited - 15/5 Valco Road, Heavy Industries Area, Tema, Accra",12,12,0,2,7,12,41.7,100.0
"Fnj Investments Limited., Accra",11,0,11,4,0,11,100.0,0.0
"Bodukwan Multi Fruit Processing Limited., Kumasi, A/R",11,0,11,1,11,11,0.0,0.0
Zifam Pinnacle Pty Limited,11,11,0,1,0,5,100.0,100.0
Hebei Yuanzheng Pharmaceuticals Co. Limited 16 Liuyuang Road Shijiazhuang City Hebei Province - China,11,11,0,1,0,11,100.0,100.0
"Panific Limited., Accra",11,0,11,3,0,11,100.0,0.0
Paapaa Pharm Limited,11,11,0,1,0,11,100.0,100.0
"Mirpuri Inv. Limited., Accra",11,0,9,4,0,10,100.0,0.0
"Kaphils Ent., Nkwanta, O/R",11,0,11,1,11,11,0.0,0.0
Double A Limited - P. O. Box 690 Nungua Accra,11,11,0,1,0,11,100.0,100.0
Saboc Fayden Limited,11,0,11,0,0,0,100.0,0.0
Dutch Farm Int.B.V Niew Walden 112 1394 Pe Nederhost Den Berg.The Netherlands,11,11,0,1,0,11,100.0,100.0
"Salom Pharmacy Limited, P. O. Box 4901, Kumasi",11,11,0,2,1,9,90.9,100.0
O'Nart Pharmacy Limited,11,11,0,1,6,11,45.5,100.0
"Beracah Foods Limited., Tema",11,0,11,7,0,11,100.0,0.0
Maurya Confectionery Limited,11,0,10,1,0,11,100.0,0.0
Ernejoyson Limited,11,11,0,1,0,11,100.0,100.0
"Acadia Industries Limited., Accra",11,0,11,1,11,11,0.0,0.0
Korlyns Pharmaceuticals,11,11,0,4,0,2,100.0,100.0
"La Bianca Co. Limited., Tema",11,0,11,8,3,11,72.7,0.0
Jubaili Agrotec - Nkoransa Off Obuasird,11,11,0,1,0,11,100.0,100.0
Mega Lifesciences Ghana,11,8,0,2,0,8,100.0,72.7
"K3 Agri Farms Limited., Tema",11,0,11,1,0,11,100.0,0.0
Bedita Pharmaceuticals,11,11,0,2,0,10,100.0,100.0
"Bedita Pharmaceuticals - H/No. C410/2 Afram St., Second Road",11,11,0,2,0,11,100.0,100.0
Astrazeneca Uk Limited Silk Road Business Park Charter Way Macclesfield Cheshire Sk 10 2Na United Kingdom,11,11,0,3,0,11,100.0,100.0
Propharm Chemist Limited,11,10,0,1,7,11,36.4,90.9
Kemin Industries Bv Industrial Zone Extension 21 El Salhya El Gbeda Elsharkya Governorate Egypt,11,0,0,1,0,11,100.0,0.0
